payment_type,profit_per_order,category_id,category_name,customer_city,customer_id,customer_segment,department_id,department_name,market,order_country,order_date,order_id,order_item_discount_rate,order_item_quantity,sales,order_item_total_amount,order_profit_per_order,order_region,order_state,order_status,product_price,shipping_date,shipping_mode,label
DEBIT,34.448338,9,Cardio Equipment,Caguas,12097.683,Consumer,3,Footwear,Europe,Austria,2015-08-12 00:00:00+01:00,15081.289,0.13,1,99.99,84.99157,32.083145,Western Europe,Vienna,COMPLETE,99.99,2015-08-13 00:00:00+01:00,Standard Class,1
TRANSFER,91.19354,48,Water Sports,Albuquerque,5108.1045,Consumer,7,Fan Shop,LATAM,Argentina,2017-02-10 00:00:00+00:00,56444.684,0.07,1,199.99,181.99,91.23587,South America,Buenos Aires,PENDING,199.99,2017-04-09 00:00:00+01:00,Standard Class,1
DEBIT,8.313806,46,Indoor/Outdoor Games,Amarillo,4293.4478,Consumer,7,Fan Shop,Europe,France,2015-01-01 00:00:00+00:00,7508.5713,0.06,2,99.96,93.81015,6.9655495,Western Europe,Nord-Pas-de-Calais-Picardy,COMPLETE,49.98,2015-03-18 00:00:00+00:00,Second Class,1
TRANSFER,-89.463196,17,Cleats,Caguas,546.5306,Consumer,4,Apparel,LATAM,El Salvador,2017-05-31 00:00:00+01:00,56196.926,0.16,2,119.98,99.8906,-95.4014,Central America,Santa Ana,PROCESSING,59.99,2017-03-18 00:00:00+00:00,Second Class,0
DEBIT,44.72259,48,Water Sports,Peabody,1546.398,Consumer,7,Fan Shop,LATAM,Mexico,2015-03-28 00:00:00+00:00,5565.5796,0.15,1,199.99,171.07587,44.569,Central America,Illinois,COMPLETE,199.99,2015-03-30 00:00:00+01:00,Standard Class,1
CASH,76.1004,17,Electronics,Caguas,5048.3975,Consumer,3,Footwear,USCA,United States,2016-06-06 00:00:00+01:00,32955.824,0,4,129.99,145.46329,81.08791,East of USA,Pennsylvania,CLOSED,39.99,2016-10-14 00:00:00+01:00,Standard Class,1
DEBIT,-54.34529,46,Indoor/Outdoor Games,Caguas,7413.2383,Corporate,7,Fan Shop,USCA,United States,2016-05-17 00:00:00+01:00,35385.855,0.2,4,199.92,167.99,-72.914665,West of USA ,California,COMPLETE,49.98,2016-07-03 00:00:00+01:00,Standard Class,1
TRANSFER,-163.6284,18,Men's Footwear,Caguas,6775.2695,Home Office,4,Apparel,USCA,United States,2016-06-09 00:00:00+01:00,36338.4,0.1,1,129.99,116.99,-169.01434,East of USA,Pennsylvania,PROCESSING,129.99,2016-04-24 00:00:00+01:00,Standard Class,1
DEBIT,29.792816,18,Men's Footwear,Hanford,4784.4346,Consumer,4,Apparel,Pacific Asia,Thailand,2016-06-06 00:00:00+01:00,27692.854,0.13,1,129.99,113.15623,27.000895,Southeast Asia,Bangkok,ON_HOLD,129.99,2016-12-23 00:00:00+00:00,Standard Class,1
PAYMENT,12.527968,29,Shop By Sport,Caguas,11880.099,Corporate,5,Golf,LATAM,Mexico,2017-08-29 00:00:00+01:00,56918.418,0.18,4,159.96,127.39,11.838907,Central America,Tabasco,PENDING_PAYMENT,39.99,2017-04-28 00:00:00+01:00,First Class,1
DEBIT,40.463943,18,Men's Footwear,Caguas,3338.5322,Corporate,4,Apparel,Europe,France,2017-08-29 00:00:00+01:00,67071.39,0.15,1,129.99,111.575935,43.503628,Western Europe,Isle of France,ON_HOLD,129.99,2017-06-30 00:00:00+01:00,Standard Class,1
PAYMENT,147.01009,45,Fishing,Newark,1701.7117,Consumer,7,Fan Shop,LATAM,Brazil,2017-04-17 00:00:00+01:00,58629.56,0.25,1,399.98,299.98,144.01884,South America,Santa Catarina,PENDING_PAYMENT,399.98,2017-05-06 00:00:00+01:00,Second Class,1
DEBIT,87.02731,17,Cleats,Fayetteville,1256.4532,Home Office,4,Apparel,Europe,Germany,2015-09-09 00:00:00+01:00,15836.077,0.05,5,299.95,290.95166,87.36131,Western Europe,Baden-Württemberg,COMPLETE,59.99,2015-09-07 00:00:00+01:00,Second Class,1
CASH,50.661564,48,Water Sports,Caguas,8478.369,Corporate,7,Fan Shop,Africa,Nigeria,2016-09-30 00:00:00+01:00,45317.816,0.05,1,199.99,189,48.689564,West Africa,Maniema,CLOSED,199.99,2016-12-14 00:00:00+00:00,Standard Class,1
DEBIT,34.895645,24,Women's Apparel,Tucson,11585.218,Consumer,5,Golf,USCA,United States,2016-08-26 00:00:00+01:00,39779.484,0.13,3,150,123.49,35.82906,East of USA,New York,COMPLETE,50,2016-10-04 00:00:00+01:00,Standard Class,0
TRANSFER,80.53287,48,Water Sports,Rialto,3379.1467,Consumer,7,Fan Shop,USCA,United States,2016-09-29 00:00:00+01:00,33224.086,0.01,1,199.99,196.8208,81.158134,West of USA ,California,PROCESSING,199.99,2016-04-03 00:00:00+01:00,Second Class,1
DEBIT,75.887344,29,Shop By Sport,Caguas,9115.75,Consumer,5,Golf,Europe,Finland,2015-07-28 00:00:00+01:00,15190.251,0.09,4,179.97,159.95674,75.679405,Southern Europe,Calabarzon,COMPLETE,39.99,2015-07-29 00:00:00+01:00,Second Class,0
DEBIT,43.940407,40,Accessories,Caguas,9262.778,Consumer,6,Outdoors,Europe,Italy,2015-06-17 00:00:00+01:00,11520.246,0.16,5,129.99,107.89,45.734226,Southern Europe,Gharbia,COMPLETE,24.99,2015-07-09 00:00:00+01:00,Standard Class,1
DEBIT,40.49599,45,Fishing,Caguas,7126.207,Consumer,7,Fan Shop,Pacific Asia,Australia,2016-02-06 00:00:00+00:00,25329.973,0.1,1,399.98,347.19778,41.16128,Oceania,Victoria,COMPLETE,399.98,2016-01-19 00:00:00+00:00,Standard Class,1
TRANSFER,47.352356,29,Shop By Sport,Valrico,3991.4944,Corporate,5,Golf,Europe,France,2017-06-21 00:00:00+01:00,64332.7,0.03548205,3,99.99,98.38,47.37312,Western Europe,Auvergne-Rhone-Alpes,PENDING,39.99,2017-08-07 00:00:00+01:00,First Class,1
DEBIT,47.081295,18,Men's Footwear,Mililani,6733.472,Consumer,4,Apparel,Europe,United Kingdom,2017-08-07 00:00:00+01:00,64441.05,0.01,1,129.99,129.1051,52.03805,Northern Europe,England,COMPLETE,129.99,2017-09-17 00:00:00+01:00,Standard Class,1
TRANSFER,105.44884,17,Cleats,Caguas,705.14264,Home Office,4,Apparel,Pacific Asia,Kazakhstan,2016-09-12 00:00:00+01:00,44482.82,0.15,5,299.95,254.96844,107.96885,Southern Europe,Suhaj,PENDING,59.99,2016-11-06 00:00:00+00:00,Standard Class,1
TRANSFER,-27.191124,43,Camping & Hiking,Caguas,9810.397,Corporate,7,Fan Shop,Pacific Asia,Myanmar (Burma),2015-01-30 00:00:00+00:00,19770.549,0.06,1,299.98,284.9685,-17.345127,Southeast Asia,Yangon,PENDING,299.98,2015-08-04 00:00:00+01:00,Standard Class,1
DEBIT,29.647333,29,Shop By Sport,Caguas,8992.01,Consumer,5,Golf,Europe,Spain,2017-09-09 00:00:00+01:00,65965.02,0.19109133,2,79.98,64.493286,28.622063,Southern Europe,Madhya Pradesh,COMPLETE,39.99,2017-12-06 00:00:00+00:00,Standard Class,0
TRANSFER,-24.542011,18,Men's Footwear,Warren,10331.418,Consumer,4,Apparel,USCA,United States,2016-09-02 00:00:00+01:00,33717.06,0.2,1,129.99,99.96782,-28.199287,East of USA,New York,PROCESSING,129.99,2016-05-16 00:00:00+01:00,Standard Class,1
TRANSFER,175.2145,9,Cardio Equipment,New Brunswick,399.5586,Consumer,3,Footwear,Pacific Asia,Turkey,2016-04-15 00:00:00+01:00,46914.67,0.04,4,357.1,378.17902,172.003,West Asia,Istanbul,PROCESSING,99.99,2016-09-29 00:00:00+01:00,Standard Class,1
TRANSFER,20.592165,29,Shop By Sport,Caguas,1253.9034,Corporate,5,Golf,Pacific Asia,Bangladesh,2016-04-01 00:00:00+01:00,24659.023,0.16,2,79.98,59.626797,19.965775,South Asia,Daca,PROCESSING,39.99,2015-11-30 00:00:00+00:00,Standard Class,1
PAYMENT,-97.24257,18,Men's Footwear,Caguas,5954.027,Consumer,4,Apparel,Europe,Italy,2015-07-20 00:00:00+01:00,16167.85,0.09,1,129.99,120.89,-96.09058,Southern Europe,Acre,PENDING_PAYMENT,129.99,2015-08-08 00:00:00+01:00,Second Class,1
DEBIT,9.131696,18,Men's Footwear,Strongsville,9520.989,Corporate,4,Apparel,LATAM,Cuba,2015-05-07 00:00:00+01:00,7213.494,0.02,1,129.99,127.39,6.831359,Caribbean,Goias,COMPLETE,129.99,2015-06-03 00:00:00+01:00,Standard Class,1
DEBIT,82.73469,24,Women's Apparel,Endicott,10406.263,Home Office,5,Golf,Pacific Asia,Pakistan,2015-10-20 00:00:00+01:00,20411.23,0.16346905,4,239.96,188.99,78.58626,West Asia,Punjab,COMPLETE,50,2015-01-16 00:00:00+00:00,Standard Class,1
PAYMENT,-643.0045,45,Fishing,San Antonio,10800.014,Consumer,7,Fan Shop,Pacific Asia,Turkey,2016-06-15 00:00:00+01:00,47199.188,0.05,1,399.98,379.96298,-673.17944,West Asia,Northland,PENDING_PAYMENT,399.98,2016-10-03 00:00:00+01:00,Standard Class,1
DEBIT,63.721046,17,Cleats,Caguas,4571.0166,Corporate,4,Apparel,USCA,United States,2016-06-30 00:00:00+01:00,36209.137,0.06,3,179.97,167.37,64.352455,West of USA ,California,COMPLETE,59.99,2016-07-31 00:00:00+01:00,Standard Class,0
TRANSFER,31.682447,17,Cleats,Chino,9689.001,Corporate,4,Apparel,Pacific Asia,Australia,2016-07-10 00:00:00+01:00,23583.566,0.16,4,239.96,198.03123,33.95732,Oceania,New South Wales,PROCESSING,59.99,2015-11-11 00:00:00+00:00,First Class,1
DEBIT,63.448017,46,Indoor/Outdoor Games,Longview,3908.6047,Corporate,7,Fan Shop,LATAM,Nicaragua,2017-03-04 00:00:00+00:00,54762.92,0.01,4,199.92,189.99057,56.74875,Central America,Matagalpa,COMPLETE,49.98,2017-03-16 00:00:00+00:00,Standard Class,1
DEBIT,78.71959,9,Cardio Equipment,Aurora,1076.6678,Corporate,3,Footwear,LATAM,Argentina,2015-04-30 00:00:00+01:00,8323.562,0.17,5,499.95,404.36014,79.829636,South America,Buenos Aires (province),COMPLETE,99.99,2015-05-19 00:00:00+01:00,Standard Class,0
CASH,44.459053,18,Men's Footwear,Freeport,343.69073,Corporate,4,Apparel,Pacific Asia,Malasia,2015-11-25 00:00:00+00:00,24036.707,0.03,1,129.99,124.79,48.26285,Southeast Asia,Martinique,CLOSED,129.99,2015-11-17 00:00:00+00:00,Same Day,0
PAYMENT,54.00648,17,Cleats,Lutz,9911.27,Home Office,4,Apparel,LATAM,Australia,2015-06-27 00:00:00+01:00,2990.6736,0.17,4,239.96,199.17,54.870354,Central America,Gharbia,PENDING_PAYMENT,59.99,2015-09-05 00:00:00+01:00,Standard Class,0
TRANSFER,52.650555,46,Indoor/Outdoor Games,Caguas,4843.8867,Home Office,7,Fan Shop,LATAM,El Salvador,2015-06-10 00:00:00+01:00,9599.686,0.01,3,150,167.98576,55.432682,Central America,San Salvador,PROCESSING,49.98,2015-05-19 00:00:00+01:00,Standard Class,1
CASH,65.52749,27.141224,Women's Apparel,Rowland Heights,5875.9136,Consumer,5,Golf,USCA,United States,2016-06-30 00:00:00+01:00,34390.63,0.12,5,199.98,179.97,61.136673,East of USA,Ohio,CLOSED,39.99,2016-10-03 00:00:00+01:00,Standard Class,1
CASH,-17.500723,17,Cleats,Harlingen,11747.014,Consumer,4,Apparel,Europe,France,2015-08-12 00:00:00+01:00,14067.394,0.25,2,119.98,87.96,-15.158615,Western Europe,Guangdong,CLOSED,59.99,2015-08-22 00:00:00+01:00,Standard Class,1
PAYMENT,66.68983,17,Cleats,Wilmington,1903.3698,Consumer,4,Apparel,LATAM,Finland,2015-05-01 00:00:00+01:00,8794.887,0.18,3,179.97,149.38,63.989452,Central America,Alsace-Champagne-Ardenne-Lorraine,PENDING_PAYMENT,59.99,2015-04-23 00:00:00+01:00,Same Day,0
CASH,-11.713809,17,Cleats,Passaic,9276.169,Consumer,4,Apparel,Europe,Italy,2015-08-27 00:00:00+01:00,14657.678,0.01,2,119.98,120.4279,-11.137604,Southern Europe,Piedmont,CLOSED,59.99,2015-07-19 00:00:00+01:00,Standard Class,1
TRANSFER,27.012688,29,Girls' Apparel,Caguas,6636.108,Consumer,5,Golf,Europe,United Kingdom,2015-07-10 00:00:00+01:00,11399.338,0.16,2,59.994244,48.82628,27.737318,Northern Europe,England,PROCESSING,30,2015-09-02 00:00:00+01:00,Second Class,1
DEBIT,35.965538,18,Men's Footwear,Caguas,2147.5417,Consumer,4,Apparel,Europe,Germany,2015-05-08 00:00:00+01:00,13147.389,0.09,1,129.99,117.590744,42.048347,Western Europe,North Rhine-Westphalia,COMPLETE,129.99,2015-06-13 00:00:00+01:00,Same Day,1
TRANSFER,112.11756,43,Camping & Hiking,Lancaster,4709.7383,Consumer,7,Fan Shop,Pacific Asia,Mexico,2016-01-04 00:00:00+00:00,24570.465,0,1,299.98,299.99,107.956024,Southeast Asia,Utah,PROCESSING,299.98,2015-12-21 00:00:00+00:00,First Class,1
TRANSFER,12.721836,18,Men's Footwear,Caguas,1443.7852,Consumer,4,Apparel,LATAM,Dominican Republic,2015-02-21 00:00:00+00:00,5948.1436,0.17,1,129.99,108.10421,12.586501,Caribbean,La Romana,PENDING,129.99,2015-05-12 00:00:00+01:00,First Class,1
DEBIT,74.81397,46,Indoor/Outdoor Games,Lindenhurst,3524.487,Consumer,7,Fan Shop,USCA,United States,2016-09-15 00:00:00+01:00,36364.125,0.18,4,199.92,159.63972,79.883575,West of USA ,California,COMPLETE,49.98,2016-05-23 00:00:00+01:00,Standard Class,0
CASH,11.842418,48,Water Sports,Caguas,11986.932,Consumer,7,Fan Shop,Europe,United Kingdom,2017-07-31 00:00:00+01:00,66534.45,0.1,1,199.99,181.98027,10.08204,Northern Europe,England,CLOSED,199.99,2016-10-03 00:00:00+01:00,Standard Class,1
CASH,1.0343983,48,Water Sports,Caguas,5563.4614,Corporate,7,Fan Shop,LATAM,Mexico,2015-05-25 00:00:00+01:00,9931.881,0.09,1,199.99,179.99747,2.2897367,Central America,Niamey,CLOSED,199.99,2015-07-24 00:00:00+01:00,Second Class,1
DEBIT,50.298737,40,Accessories,Caguas,1471.9968,Consumer,6,Outdoors,Pacific Asia,India,2015-11-02 00:00:00+00:00,23991.393,0.2,5,124.955215,100.78,52.294857,South Asia,Khartoum,COMPLETE,24.99,2015-11-28 00:00:00+00:00,First Class,1
TRANSFER,30.485455,18,Men's Footwear,Fountain Valley,637.97156,Consumer,4,Apparel,LATAM,Honduras,2015-06-08 00:00:00+01:00,5420.0317,0.2,1,129.99,103.99,28.331846,Central America,Francisco Morazan,PENDING,129.99,2015-10-06 00:00:00+01:00,First Class,1
DEBIT,180.13777,9,Cardio Equipment,Portland,7945.4346,Consumer,3,Footwear,LATAM,Honduras,2017-06-08 00:00:00+01:00,55631.71,0.07,5,499.95,453.7464,181.57088,Central America,Francisco Morazan,COMPLETE,99.99,2017-12-07 00:00:00+00:00,Standard Class,1
DEBIT,91.830925,43,Camping & Hiking,Caguas,3469.785,Consumer,7,Fan Shop,USCA,United States,2016-07-07 00:00:00+01:00,33850.09,0.01,1,299.98,299.76666,91.1629,South of  USA ,Florida,COMPLETE,299.98,2016-09-01 00:00:00+01:00,Second Class,0
DEBIT,131.60786,45,Fishing,Chino Hills,1632.6,Home Office,7,Fan Shop,Europe,Russia,2017-01-21 00:00:00+00:00,51316.29,0.12,1,399.98,335.98,128.23416,Eastern Europe,Yamaguchi,COMPLETE,399.98,2017-01-09 00:00:00+00:00,Standard Class,1
CASH,33.165504,46,Indoor/Outdoor Games,Harvey,10786.187,Consumer,7,Fan Shop,LATAM,Argentina,2017-09-24 00:00:00+01:00,54175.22,0.010120763,2,99.96,98.99076,34.201145,South America,Fujian,CLOSED,49.98,2017-03-09 00:00:00+00:00,Standard Class,1
TRANSFER,31.555159,29,Shop By Sport,Caguas,7759.178,Home Office,5,Golf,USCA,United States,2016-09-12 00:00:00+01:00,40961.273,0.09,3,119.98,104.038345,32.141796,US Center ,North Rhine-Westphalia,PENDING,39.99,2016-06-15 00:00:00+01:00,Standard Class,0
PAYMENT,5.7950664,45,Fishing,Glendale,4631.5127,Consumer,7,Fan Shop,LATAM,Mexico,2016-11-10 00:00:00+00:00,48177.83,0.16,1,399.98,335.98,7.746261,Central America,Auvergne-Rhone-Alpes,PENDING_PAYMENT,399.98,2017-01-08 00:00:00+00:00,Second Class,1
DEBIT,-204.3779,24,Women's Apparel,El Monte,9633.959,Consumer,5,Golf,USCA,United States,2016-04-11 00:00:00+01:00,34532.676,0,1,50,53.974907,-194.97086,West of USA ,Washington,ON_HOLD,50,2016-05-17 00:00:00+01:00,Standard Class,0
DEBIT,-165.23405,18,Men's Footwear,Caguas,908.9587,Consumer,4,Apparel,LATAM,Argentina,2017-01-26 00:00:00+00:00,52385.14,0.06,1,129.99,122.15357,-110.35262,South America,Buenos Aires,COMPLETE,129.99,2017-03-01 00:00:00+00:00,Standard Class,1
DEBIT,-94.57611,18,Men's Footwear,Caguas,1212.3273,Home Office,4,Apparel,LATAM,Guatemala,2015-09-02 00:00:00+01:00,5036.531,0.16,1,129.99,109.19,-119.7511,Central America,Guatemala,COMPLETE,129.99,2015-02-26 00:00:00+00:00,Standard Class,1
DEBIT,56.193565,48,Water Sports,Caguas,8014.884,Consumer,7,Fan Shop,LATAM,Peru,2015-03-12 00:00:00+00:00,105.9214,0.1,1,199.99,179.99152,57.043663,South America,Ho Chi Minh City,COMPLETE,199.99,2015-05-20 00:00:00+01:00,Same Day,1
TRANSFER,-15.494438,17,Cleats,Hempstead,6600.8613,Consumer,4,Apparel,LATAM,Honduras,2017-03-17 00:00:00+00:00,56359.06,0.18,1,59.99,48.75576,-13.678007,Central America,Francisco Morazan,PENDING,59.99,2017-05-20 00:00:00+01:00,Second Class,0
DEBIT,180.58572,45,Fishing,Caguas,7084.157,Corporate,7,Fan Shop,Pacific Asia,Filipinas,2016-05-26 00:00:00+01:00,28735.732,0.086574174,1,399.98,359.98,181.80397,Southeast Asia,Capital Nacional,ON_HOLD,399.98,2016-02-19 00:00:00+00:00,Standard Class,1
TRANSFER,23.421797,17,Cleats,South San Francisco,5048.164,Consumer,4,Apparel,LATAM,Guatemala,2015-03-02 00:00:00+00:00,3962.6113,0.15,1,59.99,49.19,24.625042,Central America,Greater Poland,PENDING,59.99,2015-02-21 00:00:00+00:00,Standard Class,1
PAYMENT,45.283573,29,Shop By Sport,Caguas,6442.1978,Consumer,5,Golf,Pacific Asia,China,2016-01-29 00:00:00+00:00,23401.455,0.2,5,199.98,163.77763,43.550438,Eastern Asia,Paraiba,PENDING_PAYMENT,39.99,2016-04-23 00:00:00+01:00,First Class,1
DEBIT,43.980618,29,Shop By Sport,Caguas,1281.7817,Home Office,5,Golf,LATAM,Guatemala,2015-03-13 00:00:00+00:00,5086.234,0.09,4,179.97,159.90178,39.99752,Central America,Guatemala,COMPLETE,39.99,2015-03-15 00:00:00+00:00,Standard Class,1
